A0B9A2;Q9BX10
A3MXJ5;Q4J6C6
A4FZP7;O60494
Q46B32;Q9Y5A6
Q2FU12;Q15393
A6VH72;Q8NGJ1
Q58801;P59025
Q9HMY5;Q5SWA1
A0B645;Q8IX03
Q46G04;Q2QD12
O29782;Q96R45
A2ST90;Q76N89
D4GYI2;P35659
A3CTU1;Q8TAT2
P62010;Q86VK4
A6USB0;Q8MH63
A0RXH7;Q96JP5
Q5JGR5;Q92519
P0CW44;P35227
Q5V0E6;A6NJ69
A8MCC9;Q96EX3
Q3IUP1;Q8WWH4
A8MCC8;Q5T280
B0R6V4;Q5TF39
Q8TYT7;P59646
Q05E29;Q96FW1
C3N7D1;Q9Y6F9
O28212;Q99929
B8D5W9;Q8TEA7
A4FWU2;P12980
A3CYG9;P0C7M8
Q58207;Q96SN8
Q58111;Q6KC79
C3N8S2;A8MTL9
A0A0F8XMN8;Q53T94
P12735;Q14669
Q6LY59;Q14188
P26815;Q96ST3
O59028;Q6ZQX7
O28158;P24278
Q8TZI4;Q8N1I8
Q8TZH9;O60885
Q96Y77;Q96JI7
Q972I2;A0A1B0GVZ6
B0R7R3;Q9HAH1
Q18E76;O14645
Q3IMR2;P00736
Q4JB42;A0A1B0GTQ4
A0B8Y7;Q52LD8
Q8ZXE0;Q96JP5
A9A9B4;P49840
O57693;Q8N5N7
O28394;Q9GZN0
O28440;Q8IZL8
C3MJX9;Q7Z7M8
B1YD57;Q8NBJ5
Q8TYY7;Q9Y2L5
Q466B1;A6NLU5
Q979F7;O00238
Q12WC5;Q6P531
Q9V0M2;P82909
Q48335;A0A075B6L2
P58302;Q9BY41
Q3IMJ0;Q8N8F6
A3CRI4;O95232
O58281;P06401
B0R7D8;Q96IP4
C5A279;Q8IYD9
A4FW11;Q5XKR9
Q5V1L3;A6NMD2
Q8TM02;Q9UQK1
O27129;A0A1B0GVY4
A6UNL1;Q96NB3
Q9V0Q4;Q8WX94
Q5V2C9;O14931
Q58184;Q8N7H1
Q9V1Q1;Q0VG99
A0B8P7;Q6NT89
A8A952;Q9NP92
Q58615;P39086
Q57952;Q2M3G0
Q57671;Q9NZB2
A0RX34;A0A1B0GVZ9
A2BJP9;O43676
Q6LY59;Q8NEM1
P95690;P00414
B0R5L2;Q6PEY2
A6URP5;Q96HA1
O54003;Q5W111
O28202;Q9BYG8
Q5V4R0;Q9UIQ6
Q8TS62;Q9Y6W6
B0R3T7;P07098
Q465W3;Q9NP98
P52862;Q93077
A4G075;Q9BXJ0
B8YB58;P48060
Q8ZU97;Q15040
Q58039;Q8TET4
O30050;Q15797
B8YB58;P49758
Q97CQ3;P04035
Q5V1R7;O75830
Q9UY10;P17481
O58714;P09601
O58281;Q9H257
Q8PU78;O75832
Q9V159;Q6NYC1
B0R5L2;Q15762
Q2NIA4;Q9UG22
B9LNM9;Q86SG2
Q5JFR2;O00762
D4GW48;Q9BYQ9
Q58646;Q8NEE6
Q8TZI4;Q6UX40
A4FZ71;Q9UG22
Q5V5C9;P62244
Q3IMV8;Q8N2Q7
Q46FH4;P09234
A1RWT7;B3SHH9
Q58104;H3BSY2
Q2NFU2;Q8WX77
O27041;Q9BXJ0
Q5JJC9;Q9BRJ9
C6A163;Q14188
C4KHE3;Q5MNV8
Q9V2E8;Q13304
P38613;P52198
Q12X56;Q0VG99
Q6LZI8;A0A0A6YYJ7
A6VJ51;Q5VZK9
A3MSJ6;Q15238
Q58183;P59046
Q3IMX2;Q13794
Q9HQH8;A6NCQ9
B9LSZ3;Q92833
Q58132;Q9P281
O59045;Q8TC20
Q5V5N9;O95800
P60348;P19224
Q58478;A6ND91
Q46DV8;Q15049
Q8PV43;P0CG39
A4YCQ3;H3BPF8
O28832;Q16795
Q8U0D4;Q8N2A0
A1RX38;O95473
Q8TX58;Q9H000
B8GKC0;P08F94
D2RT08;O00468
Q3IS61;P46094
Q8PTT5;Q15042
C3NDQ4;Q13972
A4FWM4;Q8NE79
Q9HKT3;P62910
P42851;P29377
Q8TXC8;Q9Y478
O29338;Q92918
Q97ZE3;P20061
Q9P9I7;Q5SRI9
Q2FU94;Q9Y675
Q46E43;Q99487
Q9UXC4;A0A0J9YX75
Q2FTS5;Q9HCX4
P95958;Q96EK7
Q8ZY04;Q96JG9
C5A430;Q99954
Q5JH71;Q96S86
Q6M0L1;Q92841
A8AC96;O14939
A2BLM0;Q96K19
Q8ZXD4;Q7Z3H4
Q49173;P52737
Q8PYN3;P0CJ71
A1RV54;O00541
G0HQZ6;P38405
Q8TKZ3;O75871
O28810;Q16775
A4FX39;C0HLV8
A8MDP6;Q9UGT4
Q9Y8K5;Q13416
Q5JF39;Q8IY37
Q8TXC8;O15037
O58764;O14548
Q60290;O14793
Q8TVE8;A0PK00
Q46BL0;Q96LA5
Q9C4Z5;P32121
C3MZH2;Q92833
A3DM47;Q8WXS3
Q9HJ48;P03951
Q9YBS7;P57737
O26757;Q5T4H9
Q8TU05;Q9NYG2
Q8TWM5;Q96IX9
Q3IUQ3;Q6A162
P62428;O94955
O28142;Q92994
Q8TW01;Q2MKA7
Q58403;Q96QU4
B1YDJ1;Q96AY4
P46215;O00744
Q469M0;Q8TDM5
Q9UZQ4;P43405
O29181;Q9NP08
Q2FTJ7;Q8IVL1
Q2FL43;Q6ZR52
Q9V2J6;Q5T2W1
C3NEN0;Q8NFY4
Q9V1J1;Q9NXF1
Q96ZP3;Q6IAN0
B1YA36;Q9Y485
Q977U8;Q92879
Q58478;P01569
Q9HK34;Q5T5S1
Q58799;Q9Y5E9
A6VGV4;P61204
P80489;Q96FV9
Q58599;Q63HK3
Q3IPM6;A0A0J9YXM7
A5UL66;O14929
O27381;O60522
Q3ISC1;Q8TDM6
A3DMG2;Q9UBY8
A7I4V4;A6NMN3
Q57752;Q8NHH9
Q5UZH1;Q8WUE5
Q5V5R9;Q6Q4G3
Q97BW8;Q06455
A4YIZ5;O60664
Q59058;Q68D10
O58690;Q96H96
Q2FRU6;Q86WB7
Q8ZZB0;O14522
Q97VF1;P04085
Q6LZD4;Q8N9M1
Q5UX45;Q93099
Q96YV7;Q2Y0W8
C3NF62;A0A096LPI5
C3MWN7;A8MV72
C3MZJ5;Q8WXK3
O29845;C9JJ37
A0B885;P35606
Q60281;Q96R09
C3MTW8;Q14139
Q980L3;Q9HCU4
A4WLK1;Q8N4L4
O29540;O75365
Q8TZI8;Q8IVI9
Q9UZ09;A0A0D9SF12
O26990;P57082
Q8TW40;O75022
B1Y963;P78504
Q9YA72;O75344
C3N5U6;Q9P032
A1RTG5;Q9NRP2
Q5V4Q5;P53350
P14034;Q8N7H1
B0R4K0;P60022
Q2FSG2;Q96T58
A7IAZ7;P0DPP9
C5A293;P20142
B1YBK5;A6ND91
A0B7U9;P62244
Q60368;Q6ZN19
Q971I8;Q8TAS1
Q57801;Q8NE71
Q97BP8;Q9H7F0
Q46GA0;Q7Z5Y7
O27270;Q07869
A2BL74;Q8NBR6
Q59013;P20718
Q6LYC4;P13598
A4YI28;Q9BV94
Q8U0P7;Q71RS6
O26859;P15153
Q8ZV04;Q86WS3
Q5V4S6;Q6UWY0
A6UQM0;O15484
A7I9R4;O75683
Q9HPK0;Q9BXU7
A4FZ71;Q9NVV4
O29561;Q9BU40
Q50539;P61204
Q0W2P8;Q9H6D7
Q60379;Q01196
B0R450;Q5BIV9
O26920;P04211
A6VFU7;O60412
C5A335;P02671
A5UKU4;Q6PIV7
A5UL66;Q9NR56
B0R6U7;P55000
A0B8J2;P41220
C3NF67;Q5VYS4
A3CWL5;P17096
Q8PTD3;Q9H2K0
Q6LYR8;Q9UKJ3
A2SSV9;P46459
Q8TX52;P49915
Q58413;Q6A163
A5ULP3;Q5SW96
Q6LXH7;Q6PL24
Q46E39;Q8N9F0
Q4JB42;O14653
A6UQ63;Q9UJX3
Q5JE49;Q5VU92
A3CRT6;Q6PJP8
Q2NEH8;A2RUH7
Q8Q0F9;Q8WTS6
C3N8S2;Q96CB9
Q8PV87;Q8N8G6
Q8PXK6;G5E9R7
Q5V212;Q8NGG2
Q5V4Q5;Q92529
A0B7X3;Q96KN1
A2BL74;Q5QNW6
O28703;Q9HAT8
A9A8P0;O95084
C4KHS1;A8MV24
Q6L1L7;Q8N8H1
Q8ZYQ4;Q8N5W8
Q8TWN3;Q6UXQ8
Q4J8T0;Q494R4
B0R808;Q9NX04
Q6L0C3;Q9Y6W6
A9A597;Q4G0G2
Q5JI92;Q02224
A4FWM4;A0A0U1RQG5
Q58158;Q9UJD0
P80911;Q9Y6X0
Q9HHE9;Q9UBU8
O26284;P04211
Q74N45;P41227
O29959;Q9Y675
Q3IU54;Q04844
Q9V2I3;Q9C019
A9A8K6;Q96N19
Q978N8;Q8WUE5
A7I5R5;Q9H2A9
Q46BE1;Q3KP44
Q8TW01;Q14055
Q60338;Q8IZQ5
Q3IMX8;Q86XE5
O27381;P49005
A4YDR9;Q9UI46
O58734;P51617
A2STM8;P54219
Q975S0;Q70EK9
O33600;Q9NY99
A3CVZ3;Q96D96
A9A4V0;Q5VWK0
O28560;Q92562
P15356;Q8NDY8
Q5JIE1;Q8IZP1
Q9HSN7;Q8TE73
Q9HNE2;Q7L8A9
O27573;P18887
Q2NHG8;Q9NRU3
P58862;Q9UHI6
O59060;Q9BUR4
B0R4Y2;Q9NTJ5
C4KK84;Q9GZU1
Q971D7;Q8NE79
A6UUY8;Q9BV23
O29874;Q8IXM6
Q8TXB4;Q6UX15
Q5JEW3;P0DPF2
Q9HNE2;Q9NWU2
A3CU65;Q9NYG2
O59362;Q496Y0
Q8TU05;Q8NGR6
Q9HLA4;Q7Z5J1
Q8TS34;Q9Y6Y1
P57715;Q9H0Q0
Q9YF82;P22004
