Q57996;Q9UNF0
A7I4U9;Q8IZU9
Q74NA6;A0A455ZAR2
Q8TKG2;Q96B18
A3DMF9;P31947
D2RUI0;Q9UKV3
P59010;P05386
P58816;A8K0S8
Q57794;P50402
C3MPN8;P09237
Q8ZY14;Q9ULL1
Q9UWW6;Q9NY57
C3MZB2;P31431
Q8TVM0;Q96LR9
Q57750;Q9BST9
Q979T0;Q16877
A3CXI2;Q8N6G6
Q8PVG9;Q7RTV3
O57853;Q6XUX3
Q9HKY3;P17022
O73943;Q96IV0
P60921;P26371
Q8U4A4;Q9BR61
Q9HIH8;P08865
Q3IRT0;P22223
O05982;A0A0C4DH35
A5UKJ7;P19237
Q74N55;O75494
Q3INR7;Q15697
Q9UWN5;O14524
O29953;A0A0C4DH26
Q2NHD1;Q86XN7
Q12W27;Q8IU68
Q4JCM0;Q86T90
C3MW45;Q96KP1
A9AB27;P55036
A6US81;Q96KJ9
E7FHX4;Q96EZ8
O26293;P02774
Q2FLY5;Q9ULV0
A7IA69;Q8TE73
Q97CM6;Q8IZM8
Q74N89;Q6UXX5
Q60366;Q8N8Z8
Q0W8U9;Q96IR2
A2BNB6;O95944
A8AC24;P0DOY3
Q5JIY7;Q14315
Q975L7;P32456
Q9V0E3;P78325
Q60261;O15145
Q9YAD8;Q8TDY4
B8GDM7;P21854
Q6L0E8;Q9BSW7
C3MQ53;Q8NFP4
A6USX5;Q86U70
Q9HLZ5;P61599
Q4J8P9;Q86Y30
C6A3U0;Q7L2E3
Q59969;Q9P2K6
Q97Y88;P61566
Q6L1T9;Q9BZ95
O28469;O95741
Q5UXG8;P39687
Q971I2;Q7Z7C7
Q8TVS6;P60014
A1RSS8;Q5T0D9
A2STJ3;P54851
Q58360;Q9NQ40
O28523;Q6DHV7
Q8ZUF0;Q9Y3R4
C3MW86;Q9Y3C1
A3CTG3;A0PG75
C5A2B9;Q8TE04
Q6L1S4;Q6ZVM7
O29119;Q8TAE7
Q60378;Q9NR90
Q9C4Z1;Q69YU3
O27054;Q9NYV6
Q96YC2;Q9UBC0
Q05E21;Q8N945
Q975Q9;O75475
C3N0B6;Q16798
Q6LXY3;Q96A54
Q9P9J4;P27449
O58394;Q96G30
O93639;Q8IY57
Q58044;Q8IUW3
B6YUF8;O15537
A3MSF6;Q5H9I0
A6UT34;P05187
B6YXM1;Q96GQ7
Q8TQS4;P62841
C5A649;P22735
Q58082;Q8WXW3
C3NHE1;Q4JDL3
B9LPY2;H3BRN8
Q9UX05;P28335
C5A4H0;Q96BF6
A3CSZ5;A6NIN4
Q60372;Q8N8Q8
C3NHU4;Q9HAV0
Q5UXM7;Q658Y4
C3MJ04;Q9GZZ6
Q97CL3;O60927
O28525;P37058
Q4JBG0;Q8N9P6
A4YI05;Q6PI73
C3MKT5;Q9UL03
D4GU69;Q8NGR9
C3N7V1;P12235
Q58998;Q9Y6R6
O27739;Q96N21
Q469Z7;A6NGY1
Q4JBN2;Q96B70
A0B7J8;Q9Y6J8
H3ZR39;Q96QR8
B0R8D1;Q86WB0
Q97ZW3;P84101
Q8ZTF1;P31939
P15356;Q8TD57
C3NMS5;Q7RTR0
A5UN79;O75795
O28229;A0A1B0GUI7
Q2FTH1;P20700
O27436;Q96RD0
Q58866;P47211
A6VIL3;Q9UHA7
O28935;Q9UKK9
A2BMC7;O43766
O26802;Q96EE4
Q8TW13;Q9ULH7
Q9HKR6;Q8NBF4
Q46DA6;Q7LG56
A7I9Q9;Q16880
Q9YDD5;P68543
Q9V1U9;Q9Y2J2
Q97ZY5;O60292
A4YIL0;Q9HAF1
Q8PVF4;O75426
C5A5S2;Q8TCE9
Q9UYS8;Q9GZT3
A2BMC5;Q86WS4
Q58231;Q9P0U4
A0B8Z1;Q4W5G0
Q58130;Q8NEW7
A0B7F2;Q8N344
O29761;Q9H2S5
B8D688;Q6PCT2
A6UQJ1;P54274
P81318;Q9Y4P3
A2STZ4;Q5T1Q4
P0CW99;O95965
P29579;Q53G59
B0R7E9;P08100
Q6LXC0;A6NKC9
Q5JHG1;Q8NGK4
O29165;P36639
O28664;Q641Q3
A4YIL8;Q03252
O28637;Q9NZN4
Q8ZYM8;Q9H1A3
Q57919;Q92817
O28635;Q96KJ4
Q970V0;P26441
Q58254;A0A1B0GUS4
O28771;O15021
P26693;Q9P253
O29622;Q9BQI4
Q9YBY8;O95671
Q9UZV4;O60896
Q8TIM8;Q6PIV2
Q9HQT7;Q6UWH6
B9LR64;Q96S99
Q2FR16;Q9UKS7
P77978;Q9UBJ2
Q46GC8;C9JH25
Q8U1Y5;P15104
O74108;P78364
A6VHR1;A6NH00
O27231;O15182
Q46FA5;P01834
Q9UYY9;A6NJL1
O27481;O15374
A8M9Z7;P08263
Q59565;Q9NQ32
D4GSY9;P58550
P15093;P59817
P14935;Q9NP78
Q8TKU6;Q6PRD7
Q8TRU5;P11150
Q9HMQ3;Q8WW12
Q8PZL8;O60890
Q980G0;Q6DKI1
A9A9N0;O95405
B0R636;Q13480
O57882;Q9HCE3
A3CWY7;Q8N1P7
Q12W69;Q8NE65
Q60343;Q6ZMU1
C3NGT6;Q6UUV7
Q9UYF3;Q9HBX9
A2BIT1;Q12857
O26878;Q86Y22
Q97CB5;Q8TF17
Q971I6;P51688
P58859;P60008
O58759;Q8N307
O74000;Q13291
Q6M0F3;P03952
Q58180;Q9H1P3
Q8PU74;Q6PI48
Q9HKX0;Q14687
Q9YBD6;Q9UBZ9
A6VHH7;P15374
O74020;P00395
Q5JDH6;P51124
Q9HQC2;Q96IZ0
A5UMS3;Q9UBN7
Q5UY41;Q96R30
O26972;Q49B96
Q3IPU7;A8MXV4
Q6LXN1;Q3LI59
O26867;P30518
Q980V2;O43164
P11523;Q8NEG7
A6VGQ7;Q5HY64
Q978W0;P03915
B9LUZ9;Q15059
Q5V375;A6NHQ2
Q9UX79;Q7RTX9
Q0W1W7;Q9NPD8
A5UL47;Q9P2E5
Q8U4A7;O95825
A6UR83;P0CJ86
Q9YDX2;Q96II8
Q2NF63;Q5TIE3
Q2FTZ8;Q96P53
P0CW51;Q8N7B6
Q8U194;Q9HA82
P0CW90;Q8NGI7
Q9HH07;P04746
A6UPX1;P11172
A8A8L9;A0A0B4J1V0
Q5UYR3;P61581
C3NJA0;Q14005
P84699;P35998
Q60185;Q63HM9
A6UR55;Q9UBG3
Q4JAF4;P35269
C4KJ22;Q8NG94
B1Y9C5;Q96I34
Q2FSN8;Q9H0M0
Q9HJL3;Q6IPT4
G4RJZ0;Q6VMQ6
C3MPS2;Q5SSG8
G4RJY6;Q6XXX2
Q9YCB6;Q5TGI4
O52029;Q9Y2Q1
Q58379;P02452
O26360;Q13433
Q8PWN9;Q13136
Q3IUM4;Q96GC6
Q58420;P28562
Q976K2;Q9P243
B9LRL5;Q8IZX4
Q18EB9;Q92541
P54030;Q9HBL0
Q58262;P0CL82
Q9HPK2;P12931
Q46FW1;Q12797
Q58647;A0A0U1RRL7
O29646;Q5VV67
Q9HKT0;Q8NHQ1
A1RRT7;Q96B86
C3MQ13;P98174
Q9HPX4;Q9UHK6
Q2NHX5;P78562
O28997;A0A075B6T6
Q2FQ35;Q15800
Q58205;P0C7M4
Q18JV4;Q6UXV3
Q58552;P01308
C4KIJ2;Q8TAL6
Q5V213;Q9UL16
Q58841;Q969F1
Q8ZYF2;Q9H3H1
Q9Y9U7;Q8WZ84
Q58558;Q9UPN7
A4FYK0;Q96B97
Q9UYB9;Q9Y2B2
Q58562;O60293
Q9UY93;Q9NP84
A4WL93;Q9UIF8
C3MZ05;Q8NBF1
A4YCQ4;Q9BY49
Q46EF4;P14061
A6UPR3;Q8ND30
Q57851;P0CJ79
Q12TN5;Q96SF7
Q9UY55;Q86X40
Q8TUT2;Q9UBM7
Q57620;P08861
Q57597;P59542
Q975H1;Q7Z478
O58403;Q9NV23
C4KHM7;P26045
C5A4R5;Q13398
C4KHE7;O15116
C5A7L1;Q9H4S2
Q8TZV1;Q9H1H9
Q8PZL6;Q9Y5R5
Q18GG8;Q9HCS5
O29849;P63104
C4KGQ9;Q8N3L3
C3N7E3;Q9BR76
A3CXS0;O43593
A7I5Q4;Q96HS1
P50388;P06753
Q2NGM7;O96020
Q5V2C7;P45379
Q8PYC0;A0A075B6S9
O93723;Q9Y4P8
Q4J8L5;Q16478
Q6LZG2;Q7Z2W9
Q6LWN0;Q8IWT1
Q4JAJ2;Q13796
O29417;Q9NRH1
Q9HJ58;Q9UK97
O58187;Q9Y336
Q9V262;O60234
O58413;Q9NVQ4
B9LSV1;Q8N7Z2
Q8U178;Q96P68
A3MUS9;Q9BZM5
A7I4D4;Q8WWW0
P52025;P27144
P58828;P11465
O52030;O94818
A2SPL1;Q86VW0
Q9Y9F0;Q14602
Q9UXZ0;Q2MV58
P60922;Q8IUC6
Q57863;Q7Z4T8
P50561;Q13470
Q9YBX7;Q16626
Q8TVF2;O95336
O29901;Q9H1R3
O28705;Q13127
Q8Q0M4;Q04206
A5UJM9;O43924
Q8TU90;Q8WVI7
Q9UYI7;Q8NB66
Q8U476;Q68EN5
P61519;Q8N485
E7FHC4;P49756
C5A2H1;Q14563
Q2FQM7;Q8IX94
Q980Q8;P61966
A1RWQ5;Q9H2V7
Q9HNX6;P81408
O93631;Q969M1
Q8TZC9;P26885
C3MZ47;Q6ZN54
Q9YEC5;Q70CQ2
Q8PVI7;A0A0B4J240
O29108;Q8NEB5
A9A6I9;Q96IK0
A2SPM8;P42685
Q58592;P49901
P81303;O14965
A3CVI8;Q07890
Q2FLL1;Q9GZY4
C5A6N2;Q8TCY9
A5UL33;A8MTJ6
Q4J8P8;O43374
B8D5N1;P62945
Q48327;Q702N8
O27216;Q9UGJ1
Q9YET1;Q96HI0
Q8PV39;Q13434
Q8TYX9;Q15843
A0RXK0;P0DQD5
Q5JH51;Q9BT22
A3MXD4;Q6VVB1
Q2FMZ1;Q9Y4E5
Q971S5;A0A2R8Y4Y8
Q12ZG8;A6NLU0
P54020;Q9NQ75
Q97X94;Q6NS38
A2SPV6;Q9H252
A4FZT6;P60468
Q58907;Q2TBC4
B8D5Q6;Q8N653
Q59034;Q8IXQ6
Q12WH8;P50151
Q8TRR2;Q9NWV8
C3MXG4;Q92968
Q9UXU0;P61018
Q9YEU2;Q9BYR8
Q9HS19;Q9UK23
O28642;P22090
A0B9W0;Q9NPA2
P62013;Q9H2H8
Q9HNR6;Q7Z4S9
O93627;O60336
Q9V0Q0;Q16629
Q8U4J5;Q99570
A2SSN5;Q9HC57
O29757;O76002
P95297;Q9BYJ1
A2BK77;P36956
O29730;Q8IXK2
O28190;Q3KR16
Q12VF3;Q9NWU1
Q5JEC9;Q86VI3
Q5JFT1;O00522
A6UQ66;P08962
Q8TJM9;Q8IY92
P21509;P55160
Q8Q051;Q6ZN55
Q6LXE0;Q9NX14
Q9YFI5;Q13424
Q6L2G8;Q6UWQ7
Q6KZI1;Q7Z4L5
Q3IUT3;Q08AG5
Q8TJT3;Q9Y4A9
O93659;A0A589
C3N555;A6NDB9
A6VFY2;A0A075B6R0
Q5UXY5;Q15075
Q6LXA7;P49715
Q0W8R9;Q9UIF9
O29877;O95985
Q3IMY7;A4D1T9
Q12UJ8;O95045
O29868;Q5TGI0
A9A9U8;Q9UKB3
O29379;B2RPK0
Q8PV85;Q8N7X1
Q58828;Q7KZ85
D4GQN8;O00330
Q8Q0Q4;O75438
Q57755;Q9BVJ6
B1YD95;Q6ZN44
Q0W358;Q9ULZ3
A6UWP3;A0A1B0GVH4
P11512;Q9NZH0
A4WLE9;O75127
Q9UY56;O14979
Q465N2;Q9UHB9
Q46CH4;O75828
Q8TVJ1;Q71F56
Q57610;Q99618
B6YWX4;Q8TEV9
D4GVF7;P30511
A8AC70;Q6UWY5
D4GZM5;Q9HD64
Q58095;Q9UHE8
Q8U003;Q99062
Q97ZY6;P01833
A3MUU9;Q8N141
A4YI89;Q00005
Q8TPD6;P07357
Q8PZU2;A6NDV4
Q6LXI4;Q9UPY6
Q2FUA5;Q5FWF5
B0R3H6;P51572
B1L3V2;Q9NR45
C3MRC8;Q8NEM2
Q9UZ35;Q3ZCW2
Q5UYQ8;A0A1B0GUA6
A4YHJ3;Q9NP31
Q8TH18;Q8NB15
A7I9J3;P51693
Q9UZK3;A1L3X4
Q18KA6;Q7L099
A4WNC4;Q9NPC2
Q3IRZ4;Q9Y689
A6VGH7;Q6P050
C4KJ13;Q9BT30
B8D680;P22079
P27804;O43464
Q9UZ94;Q9BRC7
P28308;O43286
O26784;Q9H8S9
A0B5L3;Q6K0P9
Q9HHX2;Q6NZY4
Q8PZQ0;Q8IYN6
A1RR78;Q6ICH7
A2BJU2;Q71F78
Q8PU18;Q8TBB1
Q3IMX5;O43763
Q58621;P19883
B0R3M0;Q9UBW5
Q57940;Q8WXB1
Q9HLN1;Q2NKQ1
O29495;O75747
Q58210;Q9Y5F9
Q6L135;Q96FK6
O57980;Q9HB63
O29043;Q8N3S3
Q4J973;O94952
P20276;P15090
Q8ZZK1;P54852
Q9V1M3;O95685
Q9V022;Q96C03
Q97BZ1;A0PJW8
Q8TY11;O43315
Q18HQ7;Q9NZ42
P05324;Q4ZHG4
O27947;Q07654
A3DMS9;Q8WY64
Q57550;Q8WTQ7
O30083;O95600
Q58053;O14832
A9A655;P09471
O28826;O76015
Q96YN6;P60763
Q5JGP4;Q8IYT3
Q58081;Q14190
D4GU92;Q9H4M7
O29371;Q15046
B9LP86;Q9BU68
Q58981;A0A1B0GVM6
A6UW25;Q9H3Q1
Q5UYF1;P63092
C3NHT6;Q8N6I1
Q8TZ61;Q5U5X0
P0CW47;P41594
Q3IMY1;Q15293
Q975I8;A6NL99
Q8ZWT5;Q16512
Q8PW58;Q8IUF1
O29399;A0A075B6N3
O33665;Q9NZN8
P80491;Q5MCW4
Q5V4R4;Q9NYP7
B8GKC9;A0AV96
Q8ZVR7;Q01344
Q46EG2;Q9UFC0
Q58447;P23588
P14038;P55822
D4GTC1;P37059
O27705;P11362
A5UJL1;Q9HBU6
O28088;Q06136
Q8ZTT4;Q96GX5
Q9UXX2;Q709C8
Q8ZV45;P09651
O28092;P07195
Q8TXD5;Q9UKT7
P61618;Q8WXA8
B6YWX7;Q96HJ9
Q4J8P1;P0DTE0
Q58684;O15439
A4YIY8;Q9BUK6
Q3ISC7;Q9UL18
I3R176;Q6PKX4
B0R2U6;P84351
Q4J9C4;O60684
Q2NGT2;Q9UPV0
Q8PZ21;Q8N0Z2
Q60375;Q7KZN9
A1RS21;Q8TDC3
O52704;Q6ZNF0
C3MPZ8;O60504
Q975P3;Q9Y5J1
Q6M0Z5;Q7Z2F6
A6VH07;Q9HCE6
P96318;Q7Z5J8
Q8TU79;Q6TCH7
O26679;P0DJ07
Q6LZS1;P0DV73
O58686;Q8N1W2
A9A331;Q6UXD1
Q58343;P78414
Q9Y942;Q9UKF5
A9A794;P27338
B1L708;Q8NH85
Q2NGK6;P58743
C3MTS7;O60258
C5A6N7;Q8IVS2
C3MQZ9;Q9Y2A4
P07960;Q6UXM1
Q6L1M5;Q9Y3B7
O28552;Q14191
O28082;P26718
A6VGE3;Q7Z5N4
C3NH92;Q70EK8
A1RUG4;P0C7T8
B1YC47;Q86Y34
A4WJ22;Q9NS40
C3MXF1;Q16878
A2SR62;Q8TDP1
O27797;Q5U649
Q3IS99;Q9HAT1
P46214;A8MTB9
A3MXZ4;P09210
P0CW57;Q9Y4X5
A9A947;Q99880
B6YV94;A6NFD8
C3MKC1;O60304
Q5V1I9;O43301
B0R502;P51787
C3MVH9;Q8IXT1
Q58847;Q5T3J3
P96084;Q9NQW6
A6UTZ1;Q9NVU7
Q8PX96;Q9BUB7
P57705;Q9Y5P3
C0HM55;Q9BRT8
Q8TUT9;Q15842
Q5JI38;P35504
O27474;Q969M3
Q00405;Q96E22
A3MSM9;Q92696
D3SSQ6;O15381
O29414;Q9BVA6
Q8ZYH2;O60353
O27341;Q8TBR4
Q4J8M1;Q8N5H7
D3SQW0;Q9P1F3
C6A186;Q8NGP0
Q2FU89;Q8N755
Q970L2;Q14406
Q9HKV6;Q8N1W1
Q8PTU5;Q6ECI4
A6VIS0;A8MUV8
B6YV15;O95810
Q978Z2;P54136
Q9UXX7;Q86U28
A7I6L7;Q9BWX5
O59182;A4D1S0
Q8PUJ8;P29218
A4G0A1;Q5GFL6
O59220;O95445
A1RZN3;P48067
A1RY32;Q7RTP6
O27587;A0A6I8PU40
Q8THP1;O95231
Q9HQG6;Q9BQ08
Q12TX1;O75473
A0B923;Q03013
P96797;O95744
Q3INQ4;Q5VTM2
Q5V3D9;P16144
O30305;P58505
Q0W7V3;Q9NX63
A2BMD0;P50750
A2STI8;A6NDE8
A0B747;Q6IPX3
Q8PZN5;Q96B96
C4KH14;Q86X53
A3MWR8;Q9BY71
Q58829;O75144
Q74MQ6;Q9NU22
Q5JJE8;Q9H1V8
B1L7J8;P20160
Q97CD7;Q5JSL3
Q6L2Z9;Q9Y258
Q58320;P04083
Q5UYP9;C0HLZ6
O28951;Q15937
A0B7V3;Q96M19
Q50500;O60687
B1YA33;Q8TCT0
O28908;O95059
O57890;Q86YW7
Q58498;O60291
Q18F09;Q9BXL8
Q58118;P0DTE8
A4G0N3;O95239
O93729;Q9Y2W6
Q8U4M7;Q93079
Q8TXS2;A6NP11
Q57967;I6L899
Q9V1E9;A6NHS7
Q58783;P48169
D4GYE1;Q8IUC8
Q6LWY8;O95969
A4FWA1;O15514
Q975J9;Q8N0V4
Q58988;Q13427
C3MTR0;Q86UZ6
Q8ZV65;Q711Q0
O28420;Q01581
Q50248;Q9NQ66
P95963;O60938
Q8ZSY4;Q9P0U1
O59494;P61923
C3NI09;Q9NRR4
Q58736;P49792
A6VJR3;Q8WZ92
A3MWN4;P0DMN0
C3N1G8;P59051
Q8U1H3;Q5VT79
P69051;P14625
A4YJ04;Q5T0T0
Q0W7K1;Q6ZUL3
A6VFL5;O43172
O58698;Q9Y3B9
Q8U1S6;Q9UNL2
Q9YD28;Q9UHH9
B1YAZ7;P86397
Q9V0V4;P16035
O27229;Q16322
O30123;Q8IV32
Q9V2S0;P16070
Q57636;O75290
Q57818;Q6B8I1
Q58987;Q75V66
Q9HHA0;Q8IU85
O27637;P48668
A5ULI9;Q8NH56
C3MZK0;P28062
A6USC8;Q7Z6W7
C3NFU5;Q92804
Q58458;Q6P1K2
Q6LWY7;Q15819
Q6L1U1;Q14162
Q9YFG3;Q96LW2
Q9HMV9;Q3ZCT8
A4FXR3;Q96HC4
A6USL5;Q9H6F5
C3N6D5;Q6PJF5
Q8TS38;Q8NAA4
O28228;Q4G0P3
Q57956;P78348
A5UJW4;Q9Y5E4
C4KJT0;Q6AZZ1
Q4JBN3;Q9BZM2
P07957;Q9NUI1
A3DL40;Q14952
Q5JJ32;Q9NWB7
A4WM07;Q9BU61
Q8TYL5;Q9Y5E7
Q8PWG1;Q69YL0
O27744;O94772
Q469W0;Q9BQG2
Q6L1H9;P25929
C3MYN1;Q8TC21
O28988;Q96S44
B8GJW5;Q8N543
A7I5I8;O94763
Q5JH31;Q96C34
Q5JFZ3;Q9Y2Y0
O28698;Q9H7Z6
Q9YB50;Q96R54
Q8Q0U0;P0DM63
O26800;P49286
Q8TRC1;P25713
Q6LYU4;P34949
A3CS71;Q9BU19
Q4J710;O75074
Q2NFE4;O15335
O28498;Q8N3F0
Q58050;Q96SN7
Q18GA8;Q8NDB6
Q3IUS7;Q8IXH6
Q5V5M5;Q9H6K1
A3DNT5;O75610
Q9YBD5;Q16678
O28996;Q8N475
Q97CS1;Q9Y5K5
P39480;A0A1B0GTS1
A8AC00;Q9BRL6
A8AAK3;Q5HYM0
Q9V2S1;Q00403
P81329;Q8IY33
Q2NHU7;Q5JRC9
Q8PT42;Q6ZPB5
P00219;Q9H159
Q9HLI6;P59780
Q12VF1;Q5TA79
O27051;Q8IZD4
O28058;O75618
A6URD8;Q8TB45
Q981B9;Q6J9G0
Q5JFH5;Q9NPB0
Q60278;P62280
Q46CD2;Q9BXC0
A5UN04;Q5R387
Q49163;Q9GZM6
Q2NI23;A0A1B0GTU2
Q9YBM7;Q8WVV9
B0R6I5;Q30KQ9
A8MC54;Q6X784
Q2NF32;Q9NQX3
B8D6G4;O14933
P61929;Q92611
Q0W4L8;A0A075B6J1
Q97VY3;Q9Y285
C4KH38;Q9H0V9
O28949;Q9BU76
O29135;Q9BT56
F9VPG1;Q86YB8
Q9V1V7;Q9NR21
Q6M0G7;Q96K62
P55299;Q8ND82
Q8TX67;Q9Y5L0
Q12X58;Q6ZS62
O53113;Q8WTR2
Q2FQV3;C9JFL3
C4KIJ3;P07205
Q12XH1;A8MWX3
A4FVW2;A6NLX4
Q8PW46;Q96SK2
Q8TJU1;Q15477
P10971;Q15334
Q8TRR5;A4QPH2
A4WH44;Q05519
O58316;Q9Y6M1
Q9UZ57;P55211
Q9UZ03;Q9BY14
Q97AN7;Q9UEE5
B0R5G1;A2A2V5
A8MD44;Q6P4A7
Q60285;P59537
A6VFK8;Q86Y56
A2SR38;Q6A555
A6VJR0;Q8WXB4
A9A5I2;Q8NBJ9
O93634;P46063
Q9V1T6;O95633
Q57995;Q6ZSK4
Q46GA7;O95672
Q9HKM5;Q9NQV5
Q2NEL4;Q9H078
P95980;Q16635
A3MWD7;Q9HAP2
Q9Y927;Q8N859
O59319;P12814
Q97X14;Q9Y5U8
A3MU88;Q9Y5B6
Q8TW28;P0DJD0
A5UN53;P04733
Q18GH0;Q9NPG1
C3N554;Q9UBE8
Q58488;Q17RM4
B0R6C7;P23786
Q468I5;Q9GZS1
D4GZB4;Q9HCK1
Q972D2;Q9NVH6
A6URA6;Q8NGZ0
B0R4J4;Q8IYU4
B1YBN2;Q15672
Q60334;Q9NPF7
Q9YCX7;Q9H015
Q9HNT1;Q8NGH5
Q57599;Q9UHY8
A0B601;P56470
A1RQK4;O14926
Q58672;P21554
Q4JBG7;Q15814
Q57840;Q8N2X6
A5UKB5;P29371
B6YWN8;Q5JXX7
Q2NF79;Q8NFB2
A0B5I7;P82251
Q18FD1;Q14993
A4FVV8;Q8NE86
B9LTT6;O95926
Q57762;Q9BQA1
O29102;P11388
O30560;Q9NPH0
Q8ZYN5;P09603
Q8TWM7;P0CK97
A5UMJ5;Q9UPN3
C3MYG4;Q96HJ5
Q0W8G5;Q9Y5K8
Q8Q038;P15408
A3MX78;Q8IWB1
Q9V2K9;O60658
Q57910;Q0Z7S8
Q5JIR2;Q9UN75
Q58587;Q495C1
Q9HSM2;Q8WVX3
O27564;Q8IUZ0
A0A0A1GNF2;Q9H426
A6VK04;P0CG24
Q5JIR1;Q13586
P95871;P43357
A1RTX9;Q6NXT6
Q8U4B4;Q8WUA7
Q8PU77;P02585
Q8U3V0;E9PQX1
A4WN42;Q8TE54
Q9V1J9;P49335
Q9YA72;Q8NG97
A3DMZ6;Q9P289
P62017;P09017
O27941;Q9Y320
Q466B1;Q92994
P57674;Q5SWL7
Q8U2A9;P48052
Q6KZB1;Q86WS3
Q57992;Q96HA1
Q18DN4;Q6P2H3
O58215;Q9NPP4
Q4JBV4;Q9BTT0
A4WJP4;P10153
Q60309;Q13416
A1RXG6;A0A2R8YFM6
Q5JJB8;Q96LW4
A5UM67;P08709
C3MJX9;P54819
Q9HPR6;Q99828
A6UN84;Q5SWW7
A3MWY2;Q6NUQ1
A1RVI0;Q8WY50
D9PVI7;Q96PB7
Q9V0V3;Q6ZN04
O29490;Q9GZN7
Q8TWY3;O15230
A3CT01;Q13421
O26338;Q8N5D0
Q97CU0;Q9HB40
Q57681;Q8TAQ5
A3MUU4;Q5VYS4
O29181;Q9HCP6
Q59058;Q9P2H3
Q8U089;A1A4G5
P58847;Q9NPZ5
Q9V2J6;Q8NF99
A1RRQ6;P48637
Q8TWU9;Q86UV5
Q97VZ9;P0DP42
Q9P9L5;P22557
Q3ING1;Q6ICL3
Q18KI1;P78381
O28256;Q76KP1
Q9UZ08;O95168
A3MV50;Q9H257
C3MQ39;Q8TDG2
C4KID0;Q96AA3
O29170;Q9HAU4
Q18J40;A0A096LPK9
P09604;Q494W8
A0RYN2;Q8NCX0
A4YI51;Q7Z3J3
Q5JGR5;Q9H8N7
Q975K6;Q9UGQ3
Q5V5F7;Q9H4I2
O30248;O00358
Q7LWY0;Q2TAL5
Q58745;Q8WU76
Q9HPK9;Q9P0R6
Q12UT0;Q8TDN1
C6A2E8;Q9NWZ8
C6A163;Q6DT37
A2SRI7;Q9UQB9
A9A233;O00170
A7I9R4;Q8NEM1
O32866;Q5TC04
O28110;Q9UJ98
B0R6D5;Q6DKJ4
Q8TIY2;Q9UMX2
B6YTE4;Q9HCG8
A3CWJ3;Q6IAN0
O29136;Q6ZNX1
Q978N8;Q8WUP2
Q8TXN1;Q8IVL8
O29378;Q12830
B1YC43;Q9UJW8
D9PZU4;Q9H611
Q8NKN9;Q8N594
Q9HJ83;O14607
B8GF12;O43147
Q57671;P0CJ71
